Type;ddas
Name;ddas-dev
IP Address;['eth0:10.211.55.4', 'docker0:172.17.0.1']
Location;
Serial Number;ddas-123456
Creation File Date;16/04/23 11:48:00.000
 
Acquisition Type;DY_PE
Start Date Acquisition;16/04/23 11:48:00.000
End Date Acquisition;16/04/23 11:48:09.999
Active Channels;0;1;2;3;4
Sensors;ai00;ai01;ai02;ai03;ai04
Units;;;;;
Period;4.000 msec
 
16/04/23 11:48:00.000;-0.8807;1.6078;-1.1446;2.4612;2.7529
16/04/23 11:48:00.004;-1.5507;2.7591;-2.2308;4.5537;3.5440
16/04/23 11:48:00.008;-1.3932;2.3768;-2.2805;4.2423;0.9816
16/04/23 11:48:00.012;-1.5272;2.5268;-2.6716;4.5530;-0.7781
16/04/23 11:48:00.016;-1.4732;2.3263;-2.8011;4.1715;-3.0207
16/04/23 11:48:00.020;-1.5569;2.3750;-3.0766;4.0000;-4.3317
16/04/23 11:48:00.024;-1.5291;2.2144;-3.1818;3.3662;-5.3076
16/04/23 11:48:00.028;-1.5924;2.2176;-3.3708;2.8481;-5.1391
16/04/23 11:48:00.032;-1.5757;2.0699;-3.4262;2.0000;-4.4043
16/04/23 11:48:00.036;-1.6272;2.0443;-3.5342;1.2604;-2.7431
16/04/23 11:48:00.040;-1.6160;1.9002;-3.5287;0.3020;-0.8418
16/04/23 11:48:00.044;-1.6595;1.8535;-3.5577;-0.5165;1.3737
16/04/23 11:48:00.048;-1.6511;1.7090;-3.4868;-1.4524;3.2077
16/04/23 11:48:00.052;-1.6884;1.6458;-3.4393;-2.2024;4.6808
16/04/23 11:48:00.056;-1.6814;1.4992;-3.3027;-2.9811;5.2692
16/04/23 11:48:00.060;-1.7135;1.4227;-3.1833;-3.5299;5.1472
16/04/23 11:48:00.064;-1.7070;1.2735;-2.9843;-4.0388;4.0838
16/04/23 11:48:00.068;-1.7347;1.1861;-2.7997;-4.2883;2.4837
16/04/23 11:48:00.072;-1.7279;1.0342;-2.5447;-4.4559;0.3806
16/04/23 11:48:00.076;-1.7517;0.9380;-2.3038;-4.3575;-1.6804
16/04/23 11:48:00.080;-1.7443;0.7841;-2.0017;-4.1653;-3.5693
16/04/23 11:48:00.084;-1.7645;0.6810;-1.7154;-3.7268;-4.7955
16/04/23 11:48:00.088;-1.7561;0.5258;-1.3773;-3.2128;-5.3441
16/04/23 11:48:00.092;-1.7729;0.4175;-1.0582;-2.4974;-4.9546
16/04/23 11:48:00.096;-1.7633;0.2619;-0.6967;-1.7500;-3.8551
16/04/23 11:48:00.100;-1.7769;0.1502;-0.3586;-0.8657;-2.0614
16/04/23 11:48:00.104;-1.7660;-0.0049;0.0126;-0.0100;-0.0135
16/04/23 11:48:00.108;-1.7765;-0.1184;0.3554;0.9077;2.1104
16/04/23 11:48:00.112;-1.7641;-0.2717;0.7220;1.7298;3.8280
16/04/23 11:48:00.116;-1.7717;-0.3856;1.0548;2.5398;5.0040
16/04/23 11:48:00.120;-1.7577;-0.5360;1.4028;3.1921;5.3164
16/04/23 11:48:00.124;-1.7624;-0.6486;1.7117;3.7699;4.8457
16/04/23 11:48:00.128;-1.7468;-0.7949;2.0276;4.1437;3.5405
16/04/23 11:48:00.132;-1.7488;-0.9048;2.2996;4.4017;1.7320
16/04/23 11:48:00.136;-1.7314;-1.0460;2.5712;4.4330;-0.4111
16/04/23 11:48:00.140;-1.7307;-1.1517;2.7947;4.3342;-2.4301
16/04/23 11:48:00.144;-1.7116;-1.2865;3.0118;4.0139;-4.1167
16/04/23 11:48:00.148;-1.7083;-1.3868;3.1773;3.5781;-5.0908
16/04/23 11:48:00.152;-1.6874;-1.5141;3.3314;2.9534;-5.3055
16/04/23 11:48:00.156;-1.6816;-1.6078;3.4318;2.2539;-4.6204
16/04/23 11:48:00.160;-1.6589;-1.7265;3.5173;1.4208;-3.2487
